distance_m,x_m,y_m,curvature_per_m
37.98690126593681,-33.063020185751135,-12.184777446242872,0.01423203054710538
38.98655656240883,-33.64519245682003,-12.997413281926946,0.018732927490684552
39.98621185888085,-34.213902562915145,-13.819522517228142,0.022962280798338792
40.98586715535288,-34.76532513993384,-14.653320746612247,0.027466661549890317
41.9855224518249,-35.295594550873965,-15.500722439059436,0.034040507484686226
42.98517774829692,-35.79966277948904,-16.36395388604533,0.04597047435832406
43.98483304476894,-36.26907719540818,-17.246482360649694,0.06480799359120601
44.98448834124096,-36.68922252406907,-18.153436398216243,0.0906337319180185
45.98414363771298,-37.0378331575947,-19.090096801178312,0.11864492087749849
46.983798934185,-37.28654438080465,-20.057901911849733,0.1379236357066176
47.983454230657024,-37.4085340585426,-21.04950999161772,0.13259012140704074
48.983109527129045,-37.39401770912312,-22.04852014610088,0.10091669943611302
49.982764823601066,-37.26240602439346,-23.039158283726824,0.06846261161415365
50.98242012007309,-37.04815634291817,-24.0154379835404,0.052086105099541244
51.98207541654511,-36.77620487273551,-24.97730503523787,0.04440398746158213
52.98173071301713,-36.458209824083625,-25.92497064279982,0.03177053218298892
53.98138600948915,-36.103946107321,-26.859714441486076,0.01063731451465651
54.98104130596117,-35.72979718886269,-27.786707373433842,-0.002086337952890356
55.9806966024332,-35.3525700168171,-28.71245577494128,0.0030588898093439477
56.98035189890522,-34.97541432745836,-29.638233131582286,0.0066888905183788904
57.98000719537724,-34.593330776389166,-30.561986495703774,-0.0013033576631258936
58.97966249184926,-34.20870264885521,-31.484684611107955,-0.009995555520834786
59.97931778832128,-33.82943144067507,-32.40959414809334,-0.018115779170686488
60.9789730847933,-33.46308818967432,-33.33969219455784,-0.030645967335637316
61.978628381265324,-33.11923680658834,-34.278317538744524,-0.04995721054328473
62.978283677737345,-32.81314997514829,-35.22987694784644,-0.07500703540498141
63.977938974209366,-32.566857014639496,-36.19853738991245,-0.09927591711758232
64.9775942706814,-32.40612896928831,-37.18488309258535,-0.11050947595571398
65.97724956715341,-32.350573919924045,-38.18262962780895,-0.10335630587712327
66.97690486362544,-32.40258487665407,-39.18062664153715,-0.08734739675174133
67.97656016009745,-32.54942508618958,-40.16922597252585,-0.07594431437219896
68.97621545656948,-32.77612467920063,-41.14267892562677,-0.07224264410615891
69.97587075304149,-33.073922491578344,-42.09680249362998,-0.07235520844307189
70.97552604951352,-33.43976459698422,-43.02695942547094,-0.06771032525278413
71.97518134598553,-33.87006231263933,-43.92912527834479,-0.05367694418082807
72.97483664245756,-34.35471267077108,-44.80334790727593,-0.034681635619048336
73.97449193892957,-34.877531069508606,-45.65534837285677,-0.019198888019875154
74.9741472354016,-35.42287254097678,-46.49313828446718,-0.010644973500489154
75.97380253187362,-35.98051547938844,-47.32280011392883,-0.005358126620533235
76.97345782834564,-36.54471705301434,-48.148018738074924,-0.0012216074227243481
77.97311312481766,-37.11157667926801,-48.97141463210561,0.0008262495356247037
