distance_m,x_m,y_m,curvature_per_m,gnss_x_filtered_m,gnss_y_filtered_m,fused_x_m,fused_y_m,official_reference_x_m,official_reference_y_m,official_reference_station_m,gps_speed_mps,corrected_imu_y_mps2,smoothed_corrected_imu_y_mps2,raw_imu_curvature_per_m,imu_curvature_per_m,fused_geometric_curvature_per_m,solver_complementary_curvature_per_m,applied_curvature_gain,gnss_heading_rad,fused_heading_rad,low_frequency_position_correction_x_m,low_frequency_position_correction_y_m
774.5,-42.014699414755334,-193.09140574554374,-0.0001559801335047047,-43.40332770035419,-197.22585585338004,-42.014699414755334,-193.09140574554374,-41.63549626493293,-192.89236741688003,796.5395410849394,17.201337974329146,1.5364770811641537,0.6727760445167663,0.0022737675341440947,0.0032378629340459463,-0.003286282125957847,-0.0001559801335047047,1.4240079011704079,1.1608784443911642,7.484089456661213,28.60783505264826,-30.425885356467113
775.0,-41.82505879708913,-192.6037003927106,0.0001942320209615202,-43.20824422675138,-196.7528449869562,-41.82505879708913,-192.6037003927106,-41.457452080237516,-192.39980285678854,797.0632975368501,17.222866283635117,1.6435856722852933,0.7853572017553557,0.0026476243768573994,0.0037702380319763144,-0.0008043749059961006,0.0001942320209615202,1.4240079011704079,1.1653246487806037,7.482697205112448,28.5940830009301,-30.38712003772311
775.5,-41.634581448653336,-192.11509596901132,0.00028410934397044485,-43.01211297198372,-196.26915731612874,-41.634581448653336,-192.11509596901132,-41.278268145499005,-191.90633486340283,797.5882904242101,17.178053446534005,1.2807953486588313,0.8147413761875322,0.0027610347522381016,0.003931735302593136,0.0018961281425456966,0.00028410934397044485,1.4240079011704079,1.1703534830243219,7.483242549480814,28.580409107930812,-30.34809089366322
776.0,-41.44463468086829,-191.6250260127436,0.00019195260936349066,-42.815981717216054,-195.78546964530128,-41.44463468086829,-191.6250260127436,-41.09954624695972,-191.4113008276692,798.114599155465,17.133240609432892,0.9180050250323692,0.7903171246167324,0.0026922932634473847,0.0038338468794169383,0.005004813424004887,0.00019195260936349066,1.4240079011704079,1.1753168916634722,7.484686022366874,28.566814472363166,-30.308798403051888
776.5,-41.25469250916205,-191.13360528890948,8.436186693988514e-05,-42.61985046244839,-195.30178197447378,-41.25469250916205,-191.13360528890948,-40.920669253774726,-190.9148341727321,798.6423079586785,17.08842777233178,0.5552147014059072,0.7615723385171256,0.002607996157410814,0.003713807134375062,0.007530896843184516,8.436186693988514e-05,1.4240079011704079,1.1802831469739794,7.488504148330575,28.553300250806736,-30.26924308652443
777.0,-41.0676058388021,-190.63976595172704,0.00016377429848102006,-42.423719207680726,-194.81809430364632,-41.0676058388021,-190.63976595172704,-40.74499319444468,-190.41567679455488,799.1714811922914,17.04361493523067,0.1924243777794452,0.7873806694538857,0.002710574330169341,0.0038598792628708276,0.00880658985938974,0.00016377429848102006,1.4240079011704079,1.1852779413938113,7.4926294226427945,28.539867563861016,-30.229425508786957
777.5,-40.880805320462095,-190.14434816249036,0.0006201824403948611,-42.22758795291306,-194.33440663281883,-40.880805320462095,-190.14434816249036,-40.569487511865816,-189.9148214095835,799.702197535198,16.99880209812956,-0.1703659458470168,0.921785538799778,0.003190018890755929,0.0045426121053193024,0.009645731845403328,0.0006201824403948611,1.4240079011704079,1.1902759950186428,7.497814533685378,28.526517433008227,-30.189346248474987
778.0,-40.69790616453372,-189.64603829159137,0.0015864326463208228,-42.031755024991035,-193.8458380793744,-40.69790616453372,-189.64603829159137,-40.39837818101316,-189.410738769542,800.2345319204219,16.94038310729531,-0.39147927188047066,1.1993239606353063,0.00417917016566113,0.005951171336237092,0.007643140049920779,0.0015864326463208228,1.4240079011704079,1.1950785534265875,7.502856162713363,28.5132508392585,-30.14900595256673
778.5,-40.515131859892875,-189.14607075847482,0.0031673334309226804,-41.8386626505968,-193.3124317237998,-40.515131859892875,-189.14607075847482,-40.22716797108028,-188.90491360169673,800.7685483731243,16.75697237281204,0.6889107741215268,1.6237977407339494,0.005782835328311289,0.008234803198682646,0.005347657327801428,0.0031673334309226804,1.4240079011704079,1.1999535675716457,7.505945091710316,28.500068777983067,-30.108405321780683
779.0,-40.334278759372864,-188.6437715097189,0.005240474736919062,-41.64557027620257,-192.77902536822518,-40.334278759372864,-188.6437715097189,-40.057885659002075,-188.39660296563915,801.3043059457426,16.57356163832877,1.7693008201235243,2.164117165962481,0.0078786004095474,0.01121918923335991,0.002217221500441255,0.005240474736919062,1.4240079011704079,1.2049666543225075,7.50855877705573,28.48697225332608,-30.067545109335192
