time_s,mf4_time_s,gps_speed_mps,gps_latitude_deg,gps_longitude_deg,gps_distance_trip_m,accel_x_mps2,accel_y_mps2,accel_z_mps2,angular_rate_x_degps,angular_rate_y_degps,angular_rate_z_degps,motor_rpm,torque_command_nm,torque_feedback_nm,apps_percent,brake_pressure_psi,battery_power_kw,battery_voltage_v,battery_current_a,battery_soc_percent
595.981551,628.7701549999999,20.731,42.065174999469676,-84.23822800018182,2418.9255613999576,-0.7607859848480967,0.7335037878793815,7.758248106060309,-0.7626893939389373,1.2550757575755749,-3.255075757575575,3221.2130434782875,0.0,-0.08913043476040139,0.6000000000000001,122.0,-0.8809496007984567,426.05472080237723,-2.0977627538385857,89.78
596.1795510000001,628.968155,19.481,42.06513999951758,-84.23824000018091,2422.324594363792,-2.881942351168581,-2.505048982668059,9.390778070837683,-3.2424265259979115,2.244951017331941,-4.25,2993.2599999999843,0.0,-0.7299999999920419,0.6000000000000001,213.0,-0.7005462598424492,426.93994077380984,-1.6684404761902414,89.78
596.378551,629.167155,17.927,42.06510799954543,-84.23825200018182,2425.723398804441,-4.25060305632734,-3.498793887345319,12.505427506946065,-1.730702197525106,1.2415572114172337,-4.252412225309362,2733.039999999903,0.0,-0.18400000003880512,0.6000000000000001,204.0,-0.5026467095497288,428.24619980207797,-1.1940346363185936,89.78
596.576551,629.365155,16.393,42.065077999802284,-84.23826400008365,2429.1051238257896,-4.377550761421228,-3.251275380710614,13.617347715736317,2.234695431472634,-0.49872461928938616,-4.747449238578772,2479.3963414634572,0.0,0.9,0.6000000000000001,198.0,-0.29830666666669653,429.0026143140169,-0.7051649433777618,89.78
596.971051,629.759655,14.823,42.0650519996589,-84.23827500015159,2435.8429547395394,-4.875,-1.7908548585491904,10.41585485854919,1.2033087330866397,0.23832718327165991,-4.25,1976.9266666666986,0.0,-0.3481666666674625,0.6000000000000001,172.0,-0.04281268582757093,429.6337579494801,-0.11752725470766671,89.78
597.366851,630.155455,12.062,42.06500699972725,-84.23829500019698,2439.593135059778,1.66771375464584,-9.4242100371738,8.54980483271436,-17.0767657992544,5.685037174720399,-46.89053903345288,1764.4228070175416,0.0,-0.13087719298340794,1.6,0.0,0.06846012877662479,430.3300939544102,0.17363924677899822,89.78
597.564851,630.3534549999999,11.638,42.06498899979628,-84.23830800028672,2441.43336149719,2.4865753597575173,-12.44630143903007,10.218675839434207,-19.950776319110897,8.205251199191725,-63.700183034584555,1937.9683333332243,19.0,23.203166666677575,16.5,0.0,2.904425321462677,429.7069471810093,6.772828882293295,89.78
597.962451,630.751055,10.889,42.0649619998779,-84.23834600035097,2445.128684888682,3.6140424085063367,-12.164447329377188,7.622808481701267,-26.052596439169584,4.7149357072202775,-62.77191518298733,1787.0600000000015,37.0,39.69249999999981,28.700000000000003,0.0,7.16655810473802,429.0234168811882,16.82491732673282,89.77
598.159051,630.9476549999999,10.689,42.064953999939334,-84.23836900039434,2446.9558996240116,2.64972846678471,-12.490726824955734,5.064912225309865,-24.04945693356942,1.3365496337464853,-61.53091058348089,1765.7830508475386,38.900000000000006,36.92864406776725,30.200000000000003,0.0,7.900566964285704,428.24707040158654,18.547618740704007,89.77
598.356851,631.145455,10.639,42.06494999996968,-84.23839500039395,2449.145380613224,4.326959919334433,-5.692160322662268,11.564702546004243,-5.764715149988216,-1.9107827073353763,-6.794145449964645,1811.6500000000021,40.0,38.96500000000427,30.8,0.0,7.879956329735011,427.91116013847676,18.50888971315534,89.76
598.554851,631.343455,10.636000000000001,42.06494799995453,-84.23842100039394,2451.3457139970697,4.743220933197289,1.9871589750115435,12.486441866394578,20.525465323810234,-0.7725968893423698,28.871806476282124,1748.4317460318102,3.9000000000000004,-5.286349206362039,2.5,0.0,5.04586849852914,427.85293865546174,11.86853237765629,89.75
598.752851,631.5414549999999,10.612,42.064944999909564,-84.2384470003768,2453.5460473809158,1.5573819146256231,9.001408183883274,10.535311947461922,20.754413993432742,-3.942618085374377,51.84832659762064,1841.141803278667,38.900000000000006,52.7415573770229,30.3,0.0,4.401256308757941,428.3908618505692,10.273421078663127,89.75
598.951901,631.740505,10.258000000000001,42.06493899987812,-84.23847200033511,2455.758049199374,3.589788156902399,11.214788156902399,11.237572290671435,20.258285139552378,-3.0165702791047533,50.77485541865713,1876.0,46.0,46.008000000000564,35.5,0.0,9.419517087666783,427.7000146111937,22.148669638434285,89.75
599.148851,631.937455,10.433,42.064930999818365,-84.23849400030272,2457.946714148609,3.2597051056337465,9.667055457746237,8.449405809858725,19.275880281689993,1.8705985915500438,47.34058098591497,1898.1266666666886,59.0,61.10441666666312,45.2,0.0,12.429536082474058,427.8405481975309,29.28870967742032,89.73
